Compound_name,CAS_number,Canonical_SMILES,n_original_records,ODT_min_mg_L,ODT_max_mg_L,log10_ODT_SD,ODT_geometric_mean_mg_L,Final_pT,Structure_type,Chemical_class
Cyclopentanone,120-92-3,C1CCC(=O)C1,2,28.15,51.1,0.183099998357274,37.93,1.42101715729721,Cyclic,Ketone
Cyclohexanone,108-94-1,C1CCC(=O)CC1,3,0.475,20,0.899459595985851,5.2,2.2839966563652,Cyclic,Ketone
6-Aminohexanoic acid lactam,105-60-2,C1CCC(=O)NCC1,1,59.7,59.7,NA,59.7,1.22402566887063,Cyclic,Others
4-Chloro-2-cyclopentylphenol,13347-42-7,C1CCC(C1)C2=C(C=CC(=C2)Cl)O,1,0.3,0.3,NA,0.3,3.52287874528034,Cyclic,Polycyclic
Cyclopentylamine,1003-03-8,C1CCC(C1)N,1,190,190,NA,190,0.721246399047171,Cyclic,Others
Cyclopentanol,96-41-3,C1CCC(C1)O,7,0.1251,19,0.806777725599686,8.12,2.09044397075882,Cyclic,Alcohol
Nitrocyclohexane,1122-60-7,C1CCC(CC1)[N+](=O)[O-],1,0.15,0.15,NA,0.15,3.82390874094432,Cyclic,Others
Cyclohexylacetic acid,5292-21-7,C1CCC(CC1)CC(=O)O,1,19.1,19.1,NA,19.1,1.71896663275227,Cyclic,Others
Cyclohexylamine,108-91-8,C1CCC(CC1)N,1,28.5,28.5,NA,28.5,1.54515513999149,Cyclic,Others
"3-Cyclohexyl-5,6-trimethylene uracil",2164-08-1,C1CCC(CC1)N2C(=O)C3=C(CCC3)NC2=O,1,0.15,0.15,NA,0.15,3.82390874094432,Cyclic,Polycyclic
Cyclohexanol,108-93-0,C1CCC(CC1)O,4,0.28,3.5,0.502158603345759,0.63,3.20065945054642,Cyclic,Alcohol
"1,2,3,4-Tetrahydronaphthalene",119-64-2,C1CCC2=CC=CC=C2C1,1,0.018,0.018,NA,0.018,4.74472749489669,Cyclic,Polycyclic
Cycloheptanone,502-42-1,C1CCCC(=O)CC1,4,0.09,4.5,0.827319284820889,0.96,3.01772876696043,Cyclic,Ketone
Cycloheptylamine,5452-35-7,C1CCCC(CC1)N,1,65.8,65.8,NA,65.8,1.18177410638604,Cyclic,Others
Cycloheptanol,502-41-0,C1CCCC(CC1)O,1,7.15,7.15,NA,7.15,2.14569395819892,Cyclic,Alcohol
Cyclooctanol,696-71-9,C1CCCC(CCC1)O,1,14.5,14.5,NA,14.5,1.83863199776503,Cyclic,Alcohol
9-cis-Cycloheptadecen-1-one,542-46-1,C1CCCC=CCCCCCCCC(=O)CCC1,1,0.0031,0.0031,NA,0.0031,5.50863830616573,Cyclic,Ketone
Cyclononanone,3350-30-9,C1CCCCC(=O)CCC1,3,0.1,0.52,0.362897236632309,0.247,3.60730304674033,Cyclic,Ketone
